250, [3, 32, 128, 0.001, 1e-06]
312, [3, 64, 128, 0.001, 1e-05]
313, [3, 32, 1024, 0.01, 1e-05]
314, [3, 32, 512, 0.01, 1e-06]
315, [3, 64, 128, 0.001, 1e-05]
316, [3, 32, 512, 0.01, 1e-06]
317, [3, 32, 512, 0.01, 1e-05]
318, [3, 64, 512, 0.001, 1e-05]
319, [3, 32, 128, 0.01, 1e-06]
320, [3, 64, 128, 0.001, 1e-05]
321, [3, 64, 128, 0.01, 1e-06]
322, [3, 64, 1024, 0.01, 1e-05]
323, [3, 32, 512, 0.001, 1e-05]
324, [3, 32, 128, 0.01, 1e-05]
325, [3, 64, 128, 0.01, 1e-05]
326, [3, 32, 512, 0.001, 1e-05]
327, [3, 64, 1024, 0.01, 1e-06]
328, [3, 64, 128, 0.01, 1e-06]
329, [3, 64, 512, 0.01, 1e-06]
330, [3, 32, 512, 0.01, 1e-05]
331, [3, 64, 512, 0.001, 1e-06]
332, [3, 64, 512, 0.001, 1e-05]
333, [3, 32, 128, 0.01, 1e-05]
334, [3, 64, 512, 0.001, 1e-05]
335, [3, 64, 128, 0.01, 1e-05]
336, [3, 64, 128, 0.01, 1e-05]
337, [3, 32, 512, 0.01, 1e-05]
338, [3, 64, 512, 0.01, 1e-05]
339, [3, 64, 512, 0.01, 1e-05]
340, [3, 64, 512, 0.01, 1e-05]
341, [3, 64, 128, 0.001, 1e-05]
342, [3, 64, 128, 0.01, 1e-06]
343, [3, 64, 128, 0.001, 1e-05]
344, [3, 64, 512, 0.01, 1e-06]
345, [3, 64, 1024, 0.01, 1e-05]
346, [3, 32, 512, 0.001, 1e-06]
347, [3, 32, 1024, 0.001, 1e-06]
348, [3, 64, 128, 0.01, 1e-06]
349, [3, 64, 512, 0.001, 1e-06]
350, [3, 64, 128, 0.001, 1e-05]
351, [3, 32, 1024, 0.01, 1e-05]
352, [3, 32, 128, 0.01, 1e-05]
353, [3, 64, 1024, 0.01, 1e-06]
354, [3, 32, 1024, 0.01, 1e-05]
355, [3, 64, 128, 0.001, 1e-05]
356, [3, 64, 128, 0.01, 1e-05]
357, [3, 64, 512, 0.001, 1e-06]
358, [3, 32, 512, 0.01, 1e-05]
359, [3, 64, 128, 0.01, 1e-06]
360, [3, 32, 512, 0.001, 1e-06]
361, [3, 64, 1024, 0.001, 1e-06]
362, [3, 32, 512, 0.01, 1e-05]
363, [3, 32, 512, 0.01, 1e-05]
364, [3, 32, 512, 0.001, 1e-06]
365, [3, 64, 1024, 0.01, 1e-06]
366, [3, 64, 512, 0.001, 1e-05]
367, [3, 32, 128, 0.001, 1e-05]
368, [3, 64, 128, 0.001, 1e-05]
369, [3, 64, 512, 0.001, 1e-06]
370, [3, 32, 512, 0.001, 1e-06]
371, [3, 64, 128, 0.01, 1e-06]
372, [3, 32, 512, 0.001, 1e-05]
373, [3, 32, 512, 0.001, 1e-05]
374, [3, 32, 512, 0.001, 1e-06]
