750, [3, 32, 512, 0.001, 1e-06]
864, [3, 64, 512, 0.01, 1e-05]
865, [3, 64, 512, 0.001, 1e-05]
866, [3, 64, 1024, 0.01, 1e-05]
867, [3, 32, 256, 0.01, 1e-06]
868, [3, 32, 128, 0.01, 1e-06]
869, [3, 32, 512, 0.001, 1e-05]
870, [3, 32, 128, 0.001, 1e-06]
871, [3, 32, 512, 0.01, 1e-06]
872, [3, 32, 512, 0.01, 1e-05]
873, [3, 32, 512, 0.001, 1e-06]
874, [3, 64, 1024, 0.01, 1e-06]
